subject,decoder,threshold,coverage,risk,accuracy
9,LDA,0.15,1.0,0.6174242424242424,0.38257575757575757
9,LDA,0.2,1.0,0.6174242424242424,0.38257575757575757
9,LDA,0.25,1.0,0.6174242424242424,0.38257575757575757
9,LDA,0.3,1.0,0.6174242424242424,0.38257575757575757
9,LDA,0.35,0.6515151515151515,0.563953488372093,0.436046511627907
9,LDA,0.4,0.1893939393939394,0.44,0.56
9,LDA,0.45,0.015151515151515152,0.75,0.25
9,LDA,0.5,0.0,,
9,LDA,0.55,0.0,,
9,LDA,0.6,0.0,,
9,LDA,0.65,0.0,,
9,LDA,0.7,0.0,,
9,LDA,0.75,0.0,,
9,LDA,0.8,0.0,,
9,LDA,0.85,0.0,,
9,LDA,0.9,0.0,,
9,LDA,0.95,0.0,,
9,LDA,1.0,0.0,,
1,ensemble,0.0,1.0,0.21875,0.78125
1,ensemble,0.05,1.0,0.21875,0.78125
1,ensemble,0.1,1.0,0.21875,0.78125
1,ensemble,0.15,1.0,0.21875,0.78125
1,ensemble,0.2,1.0,0.21875,0.78125
1,ensemble,0.25,1.0,0.21875,0.78125
1,ensemble,0.3,1.0,0.21875,0.78125
1,ensemble,0.35,1.0,0.21875,0.78125
1,ensemble,0.4,0.9861111111111112,0.20774647887323944,0.7922535211267606
1,ensemble,0.45,0.9652777777777778,0.20503597122302158,0.7949640287769785
1,ensemble,0.5,0.8611111111111112,0.16129032258064516,0.8387096774193549
1,ensemble,0.55,0.6909722222222222,0.10552763819095477,0.8944723618090452
1,ensemble,0.6,0.5833333333333334,0.047619047619047616,0.9523809523809523
1,ensemble,0.65,0.4340277777777778,0.032,0.968
1,ensemble,0.7,0.2604166666666667,0.013333333333333334,0.9866666666666667
1,ensemble,0.75,0.1284722222222222,0.0,1.0
1,ensemble,0.8,0.010416666666666666,0.0,1.0
1,ensemble,0.85,0.0,,
1,ensemble,0.9,0.0,,
1,ensemble,0.95,0.0,,
1,ensemble,1.0,0.0,,
2,ensemble,0.0,1.0,0.5451388888888888,0.4548611111111111
2,ensemble,0.05,1.0,0.5451388888888888,0.4548611111111111
2,ensemble,0.1,1.0,0.5451388888888888,0.4548611111111111
2,ensemble,0.15,1.0,0.5451388888888888,0.4548611111111111
2,ensemble,0.2,1.0,0.5451388888888888,0.4548611111111111
2,ensemble,0.25,1.0,0.5451388888888888,0.4548611111111111
2,ensemble,0.3,0.6284722222222222,0.4585635359116022,0.5414364640883977
2,ensemble,0.35,0.12152777777777778,0.22857142857142856,0.7714285714285715
2,ensemble,0.4,0.04513888888888889,0.0,1.0
2,ensemble,0.45,0.020833333333333332,0.0,1.0
2,ensemble,0.5,0.003472222222222222,0.0,1.0
2,ensemble,0.55,0.0,,
2,ensemble,0.6,0.0,,
2,ensemble,0.65,0.0,,
2,ensemble,0.7,0.0,,
2,ensemble,0.75,0.0,,
2,ensemble,0.8,0.0,,
2,ensemble,0.85,0.0,,
2,ensemble,0.9,0.0,,
2,ensemble,0.95,0.0,,
2,ensemble,1.0,0.0,,
3,ensemble,0.0,1.0,0.1388888888888889,0.8611111111111112
3,ensemble,0.05,1.0,0.1388888888888889,0.8611111111111112
3,ensemble,0.1,1.0,0.1388888888888889,0.8611111111111112
3,ensemble,0.15,1.0,0.1388888888888889,0.8611111111111112
3,ensemble,0.2,1.0,0.1388888888888889,0.8611111111111112
3,ensemble,0.25,1.0,0.1388888888888889,0.8611111111111112
3,ensemble,0.3,1.0,0.1388888888888889,0.8611111111111112
3,ensemble,0.35,0.9965277777777778,0.13588850174216027,0.8641114982578397
3,ensemble,0.4,0.9895833333333334,0.13333333333333333,0.8666666666666667
3,ensemble,0.45,0.9548611111111112,0.11636363636363636,0.8836363636363637
3,ensemble,0.5,0.8923611111111112,0.10116731517509728,0.8988326848249028
3,ensemble,0.55,0.8020833333333334,0.08658008658008658,0.9134199134199135
3,ensemble,0.6,0.6979166666666666,0.05472636815920398,0.945273631840796
3,ensemble,0.65,0.5763888888888888,0.03614457831325301,0.963855421686747
3,ensemble,0.7,0.4131944444444444,0.04201680672268908,0.957983193277311
3,ensemble,0.75,0.2361111111111111,0.014705882352941176,0.9852941176470589
3,ensemble,0.8,0.09027777777777778,0.0,1.0
3,ensemble,0.85,0.017361111111111112,0.0,1.0
3,ensemble,0.9,0.0,,
3,ensemble,0.95,0.0,,
3,ensemble,1.0,0.0,,
4,ensemble,0.0,1.0,0.6944444444444444,0.3055555555555556
4,ensemble,0.05,1.0,0.6944444444444444,0.3055555555555556
4,ensemble,0.1,1.0,0.6944444444444444,0.3055555555555556
4,ensemble,0.15,1.0,0.6944444444444444,0.3055555555555556
4,ensemble,0.2,1.0,0.6944444444444444,0.3055555555555556
4,ensemble,0.25,1.0,0.6944444444444444,0.3055555555555556
4,ensemble,0.3,0.6145833333333334,0.5988700564971752,0.4011299435028249
4,ensemble,0.35,0.1284722222222222,0.3783783783783784,0.6216216216216216
4,ensemble,0.4,0.006944444444444444,0.0,1.0
4,ensemble,0.45,0.0,,
4,ensemble,0.5,0.0,,
4,ensemble,0.55,0.0,,
4,ensemble,0.6,0.0,,
4,ensemble,0.65,0.0,,
4,ensemble,0.7,0.0,,
4,ensemble,0.75,0.0,,
4,ensemble,0.8,0.0,,
4,ensemble,0.85,0.0,,
4,ensemble,0.9,0.0,,
4,ensemble,0.95,0.0,,
4,ensemble,1.0,0.0,,
5,ensemble,0.0,1.0,0.7048611111111112,0.2951388888888889
5,ensemble,0.05,1.0,0.7048611111111112,0.2951388888888889
5,ensemble,0.1,1.0,0.7048611111111112,0.2951388888888889
5,ensemble,0.15,1.0,0.7048611111111112,0.2951388888888889
5,ensemble,0.2,1.0,0.7048611111111112,0.2951388888888889
5,ensemble,0.25,1.0,0.7048611111111112,0.2951388888888889
5,ensemble,0.3,1.0,0.7048611111111112,0.2951388888888889
5,ensemble,0.35,0.9756944444444444,0.697508896797153,0.302491103202847
5,ensemble,0.4,0.0,,
5,ensemble,0.45,0.0,,
5,ensemble,0.5,0.0,,
5,ensemble,0.55,0.0,,
5,ensemble,0.6,0.0,,
5,ensemble,0.65,0.0,,
5,ensemble,0.7,0.0,,
5,ensemble,0.75,0.0,,
5,ensemble,0.8,0.0,,
5,ensemble,0.85,0.0,,
5,ensemble,0.9,0.0,,
5,ensemble,0.95,0.0,,
5,ensemble,1.0,0.0,,
6,ensemble,0.0,1.0,0.7291666666666666,0.2708333333333333
6,ensemble,0.05,1.0,0.7291666666666666,0.2708333333333333
6,ensemble,0.1,1.0,0.7291666666666666,0.2708333333333333
6,ensemble,0.15,1.0,0.7291666666666666,0.2708333333333333
6,ensemble,0.2,1.0,0.7291666666666666,0.2708333333333333
6,ensemble,0.25,1.0,0.7291666666666666,0.2708333333333333
6,ensemble,0.3,0.9826388888888888,0.7314487632508834,0.26855123674911663
6,ensemble,0.35,0.7291666666666666,0.6666666666666666,0.3333333333333333
6,ensemble,0.4,0.375,0.6018518518518519,0.39814814814814814
6,ensemble,0.45,0.1527777777777778,0.4318181818181818,0.5681818181818182
6,ensemble,0.5,0.003472222222222222,0.0,1.0
6,ensemble,0.55,0.0,,
6,ensemble,0.6,0.0,,
6,ensemble,0.65,0.0,,
6,ensemble,0.7,0.0,,
6,ensemble,0.75,0.0,,
6,ensemble,0.8,0.0,,
6,ensemble,0.85,0.0,,
6,ensemble,0.9,0.0,,
6,ensemble,0.95,0.0,,
6,ensemble,1.0,0.0,,
7,ensemble,0.0,1.0,0.2708333333333333,0.7291666666666666
7,ensemble,0.05,1.0,0.2708333333333333,0.7291666666666666
7,ensemble,0.1,1.0,0.2708333333333333,0.7291666666666666
7,ensemble,0.15,1.0,0.2708333333333333,0.7291666666666666
7,ensemble,0.2,1.0,0.2708333333333333,0.7291666666666666
7,ensemble,0.25,1.0,0.2708333333333333,0.7291666666666666
7,ensemble,0.3,1.0,0.2708333333333333,0.7291666666666666
7,ensemble,0.35,0.9652777777777778,0.26258992805755393,0.737410071942446
7,ensemble,0.4,0.7118055555555556,0.22926829268292684,0.7707317073170732
7,ensemble,0.45,0.46875,0.17037037037037037,0.8296296296296296
7,ensemble,0.5,0.3090277777777778,0.1348314606741573,0.8651685393258427
7,ensemble,0.55,0.15625,0.15555555555555556,0.8444444444444444
7,ensemble,0.6,0.04513888888888889,0.0,1.0
7,ensemble,0.65,0.006944444444444444,0.0,1.0
7,ensemble,0.7,0.0,,
7,ensemble,0.75,0.0,,
7,ensemble,0.8,0.0,,
7,ensemble,0.85,0.0,,
7,ensemble,0.9,0.0,,
7,ensemble,0.95,0.0,,
7,ensemble,1.0,0.0,,
8,ensemble,0.0,1.0,0.4513888888888889,0.5486111111111112
8,ensemble,0.05,1.0,0.4513888888888889,0.5486111111111112
8,ensemble,0.1,1.0,0.4513888888888889,0.5486111111111112
8,ensemble,0.15,1.0,0.4513888888888889,0.5486111111111112
8,ensemble,0.2,1.0,0.4513888888888889,0.5486111111111112
8,ensemble,0.25,1.0,0.4513888888888889,0.5486111111111112
8,ensemble,0.3,0.9895833333333334,0.45263157894736844,0.5473684210526316
8,ensemble,0.35,0.8333333333333334,0.43333333333333335,0.5666666666666667
8,ensemble,0.4,0.5659722222222222,0.4233128834355828,0.5766871165644172
8,ensemble,0.45,0.3715277777777778,0.3925233644859813,0.6074766355140186
8,ensemble,0.5,0.3020833333333333,0.3448275862068966,0.6551724137931034
8,ensemble,0.55,0.2152777777777778,0.20967741935483872,0.7903225806451613
